"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..1216",1690,1735,1690,1680,1660,1710,1680,2150,1680,1650,1650
"..1217",1706.66666666667,1735,1690,1680,1660,1710,1680,2150,1580,1650,1650
"..1218",1563.33333333333,1627.5,1762.5,1350,1645,1695,1950,2150,1580,1650,1650
"..1219",1608.33333333333,1627.5,1762.5,1350,1645,1695,1950,2150,1280,1650,1650
"..1220",1648.33333333333,1627.5,1827.5,1350,1645,1695,1950,2290,1880,1650,1650
"..1221",1698.33333333333,1627.5,1855,1350,1695,1695,1950,2290,1980,1650,1650
"..1222",1698.33333333333,1677.5,1855,1350,1695,1695,1950,2290,1980,1650,1650
"..1223",2003.33333333333,1910,1942.5,1850,2002.5,2002.5,2380,2290,1980,2750,1980
"..1224",2046.66666666667,1760,1955,1850,2002.5,1902.5,2380,2290,2280,2750,1980
"..1225",2046.66666666667,1760,1822.5,2050,1920,1895,1980,2290,2280,2790,1980
"..1226",2046.66666666667,1760,1867.5,2050,1920,1895,1980,2500,2380,2790,1980
"..1227",1931.66666666667,1760,1867.5,2050,1920,1895,1980,2500,2380,2350,1980
"..1228",1926.66666666667,1860,1867.5,2080,1977.5,1895,1850,2500,1880,2380,1850
"..1229",1938.33333333333,1960,2025,2080,1970,1895,1850,2450,2380,2380,1850
"..1230",1871.66666666667,1927.5,2025,2080,1945,1895,1850,2450,2380,2380,1850
"..1231",1871.66666666667,1910,2057.5,2080,1977.5,1895,1850,2450,2380,2380,1850
"..1232",1976.66666666667,1852.5,2232.5,2080,2152.5,1895,1850,2450,1880,2380,1850
"..1233",1976.66666666667,1852.5,2122.5,2080,2152.5,1895,1850,1800,1880,2080,1850
"..1234",2098.33333333333,1902.5,2037.5,2080,1945,1895,2580,1800,1880,2080,1850
"..1235",1976.66666666667,1902.5,1962.5,2080,1945,1895,1850,1800,1880,2080,1850
"..1236",1976.66666666667,1952.5,1962.5,2080,2020,1895,1850,1800,2450,2080,1850
